amfi_code,CAGR_1Y,CAGR_3Y,CAGR_5Y,Sharpe,Alpha,Beta,Max_Drawdown,expense_ratio_pct,Return_Rank,Sharpe_Rank,Alpha_Rank,Expense_Rank,Drawdown_Rank,Score
148567,0.1458071475984759,0.3127857318272198,,1.4482911703262602,0.2698375144191807,0.023683558075848616,-0.11265729075028275,1.46,4.0,1.0,7.0,23.0,8.0,84.75
100033,0.4773458959806238,0.3362921056230763,,1.0936987435346308,0.2719535450128533,0.005103525830528313,-0.16217208574644848,1.38,2.0,7.0,6.0,17.0,20.0,82.25
120505,0.3035341170540422,0.30206534630200976,,1.18010119766065,0.2926358334175106,0.000549004250631731,-0.18188513572116294,1.36,5.0,5.0,3.0,15.0,25.0,82.25
120843,0.2848107293384283,0.2566188265022562,,1.306743969542841,0.27330465038306057,-0.02282956979242654,-0.1297396816518679,1.45,10.0,2.0,5.0,22.0,13.0,79.75
120504,0.11500730028249406,0.28369809430069837,,1.0265242847993008,0.2119482701352573,0.016232169761417024,-0.12588275606922517,0.8,6.0,10.0,13.0,12.0,12.0,77.75
119094,0.30918202012534524,0.3606601747719518,,0.9982309868636403,0.2607666908004223,-0.0662654286280376,-0.20960883862039192,1.38,1.0,11.0,9.0,17.0,28.0,77.0
119551,0.48883881388717176,0.27727427651752534,,1.2082665673727178,0.23201007160635082,-0.03175144113890976,-0.1501238549864533,1.54,8.0,4.0,10.0,30.5,17.0,73.3125
101206,0.4509392715300502,0.32528591355184844,,1.0272133278753701,0.21399784776051212,0.02108631625012804,-0.11291596329323073,1.6,3.0,9.0,12.0,36.5,9.0,72.6875
119598,0.8453224636924352,0.27814418371202754,,0.9453082575156091,0.3033696538698332,-0.02319606204405971,-0.2870600572176455,1.43,7.0,14.0,1.0,21.0,36.0,71.125
148569,0.4446574419216476,0.23317122535147572,,1.2349300257743292,0.2827036785246582,0.01813388408385925,-0.1639674294693263,1.6,13.0,3.0,4.0,36.5,21.0,69.9375
149323,0.22305604128077272,0.24242464971409516,,1.1321218524747254,0.26598577542043045,-0.002523004664699212,-0.17248105753451382,1.61,12.0,6.0,8.0,38.0,22.0,66.0
119552,0.08251685485100624,0.15383382573944893,,0.9532794968660109,0.1986859936686296,-0.02615930751351341,-0.11803493502764295,0.66,23.0,12.0,15.0,4.0,11.0,66.0
149324,0.6208181174018113,0.25029675402929885,,0.949795824661604,0.3005787817097677,0.011455159960520695,-0.31171900300634214,1.52,11.0,13.0,2.0,26.5,37.0,65.9375
118632,0.21776763418747302,0.18088593620415083,,1.081659179345704,0.21829397904608644,-0.008353832126962014,-0.17414075086657232,1.51,17.0,8.0,11.0,24.5,23.0,64.3125
125497,0.2934732237752924,0.1770571225538371,,0.7757902498211207,0.17729754927531766,0.048820404259577385,-0.15200013055606398,0.92,18.0,18.0,16.0,14.0,18.0,60.0
118633,0.28406736513935327,0.18128823270614958,,0.6452074382933218,0.15643835948169668,-0.03663900671860934,-0.18629743138595511,0.72,16.0,21.0,22.0,5.5,26.0,57.8125
118635,0.21995365120873123,0.16236841860639406,,0.6648569985490621,0.1513635464823924,-0.001433521389780139,-0.1165062450540909,0.89,22.0,19.0,23.0,13.0,10.0,55.25
120506,0.3289620693417177,0.18246287427399865,,0.6488787755249528,0.1625385327998104,0.04189646272811975,-0.1982565826298267,1.41,15.0,20.0,20.0,19.0,27.0,54.875
120503,0.04807407420549259,0.1480416951560286,,0.7979728586052846,0.17703302365844073,-0.0402689523698206,-0.13897862823061635,1.42,24.0,17.0,17.0,20.0,14.0,54.375
102885,0.18318548216870223,0.17520119946365442,,0.817099337349437,0.17048756803412696,-0.019486785689474536,-0.1085986215250232,1.57,19.0,16.0,19.0,34.0,7.0,54.25
148568,0.1049631940675948,0.13077495792463978,,0.9262873467360143,0.20873010086942337,-0.02638771994384303,-0.1527259422823477,1.52,25.0,15.0,14.0,26.5,19.0,52.6875
102887,0.1272785953848785,0.2566304169554934,,0.6195175900829826,0.16211256794033255,0.016682689437770806,-0.21539827112383225,1.64,9.0,22.0,21.0,39.5,30.0,49.1875
119093,0.19794246952869954,0.20575450839484977,,0.12961449795669322,0.08232801295222093,0.02588321244009315,-0.21751396370148224,0.75,14.0,29.0,28.0,8.0,31.0,49.125
120507,0.07014400079311978,0.07051904540600296,,0.49572339295331214,0.06746210411099539,-0.0004440926329707226,-0.0009773140045925555,0.74,29.0,23.0,31.0,7.0,1.0,48.0
149322,0.1912760461187113,0.16528044392382957,,0.46403744922047735,0.13173190226099432,-0.004050271130006511,-0.14844576917771746,1.54,21.0,25.0,24.0,30.5,16.0,43.6875
125498,0.16670899216585977,0.12492937768565682,,0.3006119210425479,0.11989100971217971,0.009054412621739139,-0.21117279560132118,0.78,26.0,27.0,26.0,10.0,29.0,42.125
120844,0.06837152766088916,0.0654165743882027,,-0.08874729621557331,0.06455677495375998,-0.0004007442394784006,-0.0011629327956168556,0.6,30.0,34.0,32.0,3.0,2.0,41.125
120841,0.18155118861657193,0.16684258851596145,,0.49427253786723485,0.13042924450705445,0.0363563990221998,-0.1757361416468729,1.59,20.0,24.0,25.0,35.0,24.0,40.875
118634,0.2236521211328215,0.0758063522976058,,0.44843400890899154,0.1750072167561127,0.10349663691337589,-0.2334488614483311,1.53,28.0,26.0,18.0,28.5,32.0,37.5625
118636,0.10622598136417083,0.04152061472814461,,-0.356629507514368,0.05074772999976104,0.0012566742731558475,-0.08316361763638702,0.55,34.0,38.0,35.0,1.0,6.0,33.875
119120,0.0572307956371807,0.05606028649588968,,-0.22657538662791588,0.05620895216638369,-0.006413850728276476,-0.04328728923970093,0.77,32.0,37.0,34.0,9.0,5.0,33.75
101208,0.0685429952818637,0.060761500834302096,,-0.8155673679088272,0.060861457957871144,0.00026670968338238335,-0.0016224980244717857,0.79,31.0,40.0,33.0,11.0,3.0,32.875
100025,0.025017601049311722,0.046143288414864925,,-0.5670947928476847,0.042817920315060876,0.0011582183155281417,-0.04308263824636349,0.56,33.0,39.0,38.0,2.0,4.0,32.625
120842,0.18605448815462422,0.10040620430039637,,0.07599984804658917,0.0780443887615508,0.018056874208118162,-0.24003511326274884,1.56,27.0,30.0,29.0,33.0,33.0,28.375
119599,0.1190796983675011,-0.006866124385353167,,-0.05718662582817997,0.048824215945539845,0.06200180438267164,-0.5257422117012851,0.72,37.0,32.0,36.0,5.5,40.0,24.6875
119092,0.034029890817970365,0.005559688070353008,,0.03078485095458589,0.0689952982167755,0.009730745001153627,-0.1440161790933726,1.64,35.0,31.0,30.0,39.5,15.0,23.3125
101207,-0.24242050015436856,-0.026964750873929244,,0.16266076928646783,0.10897091901704538,-0.06528924788351526,-0.3544691649336603,1.53,39.0,28.0,27.0,28.5,38.0,22.0625
119095,-0.454228926346248,-0.11065546853000663,,-0.07597357117478926,0.04801595363775955,-0.06695117463929198,-0.5167775370852656,1.38,40.0,33.0,37.0,17.0,39.0,17.25
100016,-0.033055090768621787,-0.00031627759670682654,,-0.2015170675596694,0.03747580763443281,-0.05826843143880891,-0.24734440880673303,1.55,36.0,35.0,39.0,32.0,34.0,13.625
102886,-0.13226101829615933,-0.01832224809009908,,-0.20583160785470317,0.02896939786637944,-0.04212502902189429,-0.2800112356639287,1.51,38.0,36.0,40.0,24.5,35.0,13.5625
